algorithm,augmentation,level,silhouette,davies_bouldin,calinski_harabasz,stability_ari,max_cluster_share,degenerate
kmeans,noise,0.0,0.2010566422342327,1.428216039322939,927.8152297314806,1.0,0.5932349147197936,False
gmm_full,noise,0.0,0.06515170575810661,2.5715250562843632,506.3269486273703,1.0,0.6064210978930773,False
gmm_diag,noise,0.0,0.0928607354495322,2.1260321601767727,672.4947147107708,1.0,0.39630213558836175,False
ahc_ward,noise,0.0,0.14312364505652156,1.6957804202459414,739.3366444394594,1.0,0.4997850078830443,False
ahc_avg,noise,0.0,0.6937602645087833,0.4657605679057385,233.15714313250317,1.0,0.9964167980507381,True
spectral,noise,0.0,0.2297662265787619,1.3942170883536291,528.5673073511683,1.0,0.7025942382112655,False
dbscan,noise,0.0,,,,1.0,1.0,True
kmeans,noise,0.01,0.20099422809534498,1.427907212186263,927.6956961889846,0.9922846152979045,0.5926616024079117,False
gmm_full,noise,0.01,0.18514856951657488,1.6966581899292863,722.7903515729754,0.4487867718216468,0.6207539056901247,False
gmm_diag,noise,0.01,0.1587671568905501,1.834137275792613,666.4615825270711,0.31107867580174914,0.4996416798050738,False
ahc_ward,noise,0.01,0.20633856915337784,1.6218251814080733,721.2357685942891,0.3929137075321905,0.6793750895800488,False
ahc_avg,noise,0.01,0.6981752853347774,0.46959493245934214,238.41858105524807,0.9011519876086357,0.9962734699727677,True
spectral,noise,0.01,0.22919660579875117,1.3946228534653111,528.5290332938384,0.9900269013061658,0.7017342697434428,False
dbscan,noise,0.01,,,,1.0,1.0,True
kmeans,noise,0.05,0.19847271547192155,1.434267909672348,924.5899296087008,0.9750920751614268,0.5876451196789451,False
gmm_full,noise,0.05,0.1013146317808285,2.3357138638968573,639.6567045708031,0.30721352092268167,0.45907983373942957,False
gmm_diag,noise,0.05,0.07775639592841072,2.101144314100588,705.9886379476497,0.7409316618920803,0.38411924896087146,False
ahc_ward,noise,0.05,0.1994082537686703,1.5181148220979248,733.299689617846,0.341091478602112,0.708470689408055,False
ahc_avg,noise,0.05,0.7158523863565548,0.6214134106643888,202.4429958110859,0.3789657263395771,0.9975634226745019,True
spectral,noise,0.05,0.2278662080953814,1.3953084806860332,525.8415391992129,0.9709319423207304,0.7004443170417085,False
dbscan,noise,0.05,,,,0.9942326461202017,1.0,True
kmeans,noise,0.1,0.19676500939152636,1.4402707941452353,914.8164218212353,0.9647228365884045,0.5877884477569156,False
gmm_full,noise,0.1,0.16254206291992582,1.8758518993671909,651.639176803375,0.37824307425717435,0.6521427547656586,False
gmm_diag,noise,0.1,0.16650243206679943,1.7587124354300356,705.602971348385,0.3348837153503151,0.5035115379102766,False
ahc_ward,noise,0.1,0.1251900543447957,1.7090657697829699,750.8170791567544,0.35130483629189235,0.48530887200802636,False
ahc_avg,noise,0.1,0.7143824194250348,0.6220999817023153,200.84532022195563,0.3789657263395771,0.9975634226745019,True
spectral,noise,0.1,0.22740074942176286,1.39617333814139,519.1680696688082,0.960498863802978,0.705747455926616,False
dbscan,noise,0.1,,,,0.9942326461202017,1.0,True
kmeans,noise,0.2,0.18601142196018444,1.478407739555052,877.3731456697126,0.9279433659989481,0.5773254980650709,False
gmm_full,noise,0.2,0.22436676238043754,1.6565291639488051,682.8123839568162,0.46335657169882477,0.720223591801634,False
gmm_diag,noise,0.2,0.1680766107203856,1.752984335315615,705.443122337579,0.34415083068988817,0.5204242511107926,False
ahc_ward,noise,0.2,0.17118669257262548,1.629050158607681,729.6417969612182,0.4535105670506411,0.6074243944388705,False
ahc_avg,noise,0.2,0.6891965438621718,0.4753259105026843,227.72378450878267,0.9011519876086357,0.9962734699727677,True
spectral,noise,0.2,0.21871100792916046,1.437218738489533,502.769985078865,0.9295294854610048,0.7018775978214132,False
dbscan,noise,0.2,,,,0.9884685996834887,1.0,True
kmeans,dropout,0.0,0.2010566422342327,1.428216039322939,927.8152297314806,1.0,0.5932349147197936,False
gmm_full,dropout,0.0,0.06515170575810661,2.5715250562843632,506.3269486273703,1.0,0.6064210978930773,False
gmm_diag,dropout,0.0,0.0928607354495322,2.1260321601767727,672.4947147107708,1.0,0.39630213558836175,False
ahc_ward,dropout,0.0,0.14312364505652156,1.6957804202459414,739.3366444394594,1.0,0.4997850078830443,False
ahc_avg,dropout,0.0,0.6937602645087833,0.4657605679057385,233.15714313250317,1.0,0.9964167980507381,True
spectral,dropout,0.0,0.2297662265787619,1.3942170883536291,528.5673073511683,1.0,0.7025942382112655,False
dbscan,dropout,0.0,,,,1.0,1.0,True
kmeans,dropout,0.05,0.19274521054013938,1.4854383627753807,861.7558397789973,0.9589572951923676,0.5958148201232621,False
gmm_full,dropout,0.05,-0.01315885092810475,4.407715777707001,318.5700871015607,0.2583604475656025,0.389422387845779,False
gmm_diag,dropout,0.05,0.0756395510460762,2.165626150236579,667.5815598768064,0.7679259526667105,0.40977497491758635,False
ahc_ward,dropout,0.05,0.11781270793098479,1.8455963883181692,689.123865260139,0.3147998128538193,0.5177010176293536,False
ahc_avg,dropout,0.05,0.8039886826006237,0.3497352719718331,157.67986047450404,0.4837345758585906,0.9988533753762362,True
spectral,dropout,0.05,0.21724063288590578,1.467287498985456,495.09355684746004,0.9356533461726664,0.6954278343127419,False
dbscan,dropout,0.05,,,,0.9714747767145655,1.0,True
kmeans,dropout,0.1,0.10562580752153727,1.8285914476051535,756.7915819893284,0.4478466249086348,0.4381539343557403,False
gmm_full,dropout,0.1,0.09025731796973946,2.90055328533128,430.85447912841863,0.3168014420012374,0.5950981797334097,False
gmm_diag,dropout,0.1,0.1579616238578127,2.0917080269816664,586.6856559177088,0.29327578998251497,0.5402035258707181,False
ahc_ward,dropout,0.1,0.17032504116069627,1.7859343532700431,636.7169058962938,0.4436566715961786,0.6336534327074674,False
ahc_avg,dropout,0.1,0.8207231156176864,0.4857898642041416,141.9533408125881,0.4693528339910139,0.9987100472982657,True
spectral,dropout,0.1,0.20386390199835702,1.514811819412143,467.21122610445633,0.8815482257900064,0.6851082126988677,False
dbscan,dropout,0.1,,,,0.9277473696160972,1.0,True
kmeans,dropout,0.2,0.15915002539786563,1.6450137295138312,682.3808935310727,0.8866568877031644,0.5810520280923033,False
gmm_full,dropout,0.2,0.08575606500464672,2.962705645173183,393.3283696078205,0.34710307858916967,0.590941665472266,False
gmm_diag,dropout,0.2,0.05824486990515664,2.4109550700321063,546.1527379062792,0.6750435813155453,0.442597104772825,False
ahc_ward,dropout,0.2,0.12243651030550955,1.780281972988126,565.5794066424334,0.2902837032373181,0.6140174860255124,False
ahc_avg,dropout,0.2,0.7933954901161914,0.6840963971338265,125.32954208636505,0.4429349085911721,0.9984233911423248,True
spectral,dropout,0.2,0.18426569791539774,1.5996655741729842,407.93869241647127,0.8230271350035756,0.7010176293535904,False
dbscan,dropout,0.2,,,,0.8296468489490106,1.0,True
kmeans,drift,0.0,0.2010566422342327,1.428216039322939,927.8152297314806,1.0,0.5932349147197936,False
gmm_full,drift,0.0,0.06515170575810661,2.5715250562843632,506.3269486273703,1.0,0.6064210978930773,False
gmm_diag,drift,0.0,0.0928607354495322,2.1260321601767727,672.4947147107708,1.0,0.39630213558836175,False
ahc_ward,drift,0.0,0.14312364505652156,1.6957804202459414,739.3366444394594,1.0,0.4997850078830443,False
ahc_avg,drift,0.0,0.6937602645087833,0.4657605679057385,233.15714313250317,1.0,0.9964167980507381,True
spectral,drift,0.0,0.2297662265787619,1.3942170883536291,528.5673073511683,1.0,0.7025942382112655,False
dbscan,drift,0.0,,,,1.0,1.0,True
kmeans,drift,0.01,0.20074100526484318,1.4281901029424309,927.7809916959402,0.9960144288751631,0.5919449620180594,False
gmm_full,drift,0.01,0.04451178325854319,2.7476321037938916,441.89955149557943,0.7405235618699813,0.5475132578472123,False
gmm_diag,drift,0.01,0.08626449898013655,2.225612068570232,624.0162412081801,0.4941104318281917,0.473412641536477,False
ahc_ward,drift,0.01,0.16984822490552773,1.5732238520230333,754.1085643922435,0.32037195450318207,0.6343700730973197,False
ahc_avg,drift,0.01,0.7163372538011726,0.6213245221889249,202.9254486084391,0.3789657263395771,0.9975634226745019,True
spectral,drift,0.01,0.22973509238155695,1.3944213935473027,528.4381761521413,0.9977786819014874,0.7025942382112655,False
dbscan,drift,0.01,,,,1.0,1.0,True
kmeans,drift,0.05,0.2008874960175834,1.428616634387229,927.5545249987723,0.9990199664131907,0.5929482585638527,False
gmm_full,drift,0.05,0.06425831139956131,2.5862488849111562,514.7121346243458,0.9632861753739681,0.5965314605131146,False
gmm_diag,drift,0.05,0.08866675700194622,2.1753956135613817,620.597299979825,0.3982001764621563,0.31632506808083705,False
ahc_ward,drift,0.05,0.1324408504925426,1.7377142892434947,743.6068404436969,0.506527698994087,0.46036978644116383,False
ahc_avg,drift,0.05,0.7162963971415706,0.6212863265682831,202.8756614207957,0.3789657263395771,0.9975634226745019,True
spectral,drift,0.05,0.22859998540157175,1.3962669068438012,529.0726248842133,0.9867217962718887,0.6991543643399742,False
dbscan,drift,0.05,,,,1.0,1.0,True
kmeans,drift,0.1,0.20057233682651324,1.4284241647204943,926.9490914619205,0.9929244713876219,0.5920882900960298,False
gmm_full,drift,0.1,0.06433087893747845,2.5853062208286177,513.099238394125,0.9638196314543791,0.596674788591085,False
gmm_diag,drift,0.1,0.07943867455463564,2.157823721316954,681.6081364171388,0.8487604225441928,0.3878457789881038,False
ahc_ward,drift,0.1,0.13714233024298603,1.7549409283012203,734.3861403655661,0.5071581829902427,0.5144044718360327,False
ahc_avg,drift,0.1,0.7162029943320478,0.621268005468101,202.7650860461626,0.3789657263395771,0.9975634226745019,True
spectral,drift,0.1,0.22830131829436337,1.3991766540338118,528.3215009324065,0.9795762497516264,0.697577755482299,False
dbscan,drift,0.1,,,,1.0,1.0,True
