k,bic,aic,silhouette
2,-53428.29570208289,-73027.21658565305,0.3178403875240694
3,-105400.394930157,-134802.2014426642,0.22235039483619215
4,-182152.75367039867,-221357.44581184292,0.11001286993688103
5,-215967.897613796,-264975.4753841773,0.06515170575810661
6,-225250.87442480063,-284061.33782411896,0.06299295677687866
7,-223761.333656597,-292374.6826848524,0.07910721721388446
8,-221770.26755428902,-300186.50221148145,0.030537617897503894
