algorithm,augmentation,level,silhouette,davies_bouldin,calinski_harabasz,stability_ari,max_cluster_share,degenerate
kmeans,noise,0.0,0.1409321520082536,1.6208675524694847,882.2103616606386,1.0,0.44732693134585066,False
gmm_full,noise,0.0,0.06299295677687866,2.5036315165727205,461.6115993186169,1.0,0.5756055611294253,False
gmm_diag,noise,0.0,0.0454867156579729,2.1739203307972548,519.9306851868548,1.0,0.47656585925182743,False
ahc_ward,noise,0.0,0.1348623450555478,1.647107799176643,714.3381329924466,1.0,0.4997850078830443,False
ahc_avg,noise,0.0,0.6935093289929047,0.40318085974384354,189.42608261063387,1.0,0.9964167980507381,True
spectral,noise,0.0,0.21892782256548343,1.2910261952377637,603.6979168729284,1.0,0.6971477712483876,False
dbscan,noise,0.0,,,,1.0,1.0,True
kmeans,noise,0.01,0.1410791568136183,1.6204471944001237,882.0979764006805,0.9973754705940682,0.44804357173570303,False
gmm_full,noise,0.01,0.08960789831500895,2.304366497503905,560.2830861415773,0.355649410295714,0.41536476995843485,False
gmm_diag,noise,0.01,0.07699338521808248,2.052005781416097,618.8614843242558,0.2737751027852361,0.3484305575462233,False
ahc_ward,noise,0.01,0.1915813432949216,1.6284540681179636,668.747308798103,0.40024634015082833,0.6793750895800488,False
ahc_avg,noise,0.01,0.6979241438164111,0.4071680451302249,193.64749090890575,0.9011536467060267,0.9962734699727677,True
spectral,noise,0.01,0.21976701946491442,1.2897076108504786,603.4683222668307,0.9907214582659114,0.6985810520280923,False
dbscan,noise,0.01,,,,1.0,1.0,True
kmeans,noise,0.05,0.140369419430723,1.6233307520153473,878.91973338598,0.9830297312873457,0.4464669628780278,False
gmm_full,noise,0.05,0.09706433944313764,2.3105907744794476,569.1557976298138,0.33848655831698676,0.4375806220438584,False
gmm_diag,noise,0.05,0.07145312580329456,2.028006880790383,633.3838174154873,0.28343824023168585,0.3432707467392862,False
ahc_ward,noise,0.05,0.0688330136176689,2.0722103757980377,672.7725722350914,0.25778739648247784,0.4037551956428264,False
ahc_avg,noise,0.05,0.696636193720024,0.630730144511915,224.58209059484298,0.7649727950703183,0.9949835172710334,True
spectral,noise,0.05,0.21940360437122275,1.2926846226473188,602.1635694304064,0.976048807894807,0.6988677081840332,False
dbscan,noise,0.05,,,,0.9942326461202017,1.0,True
kmeans,noise,0.1,0.13839703134928463,1.635148804083217,868.975545493932,0.9616985343163108,0.44532033825426404,False
gmm_full,noise,0.1,0.10190555553289231,2.018588424330192,694.5247008359644,0.3485622394448023,0.45506664755625625,False
gmm_diag,noise,0.1,0.07245575723419984,2.0138706893832707,638.586490343249,0.2799090690376279,0.3505804787157804,False
ahc_ward,noise,0.1,0.12515814900908373,1.7200015420219101,702.468610421231,0.35648445785908134,0.48530887200802636,False
ahc_avg,noise,0.1,0.6948824645833417,0.6316589611114161,222.60611984273424,0.7649727950703183,0.9949835172710334,True
spectral,noise,0.1,0.21981650824281487,1.2922539854831099,591.9201696357093,0.9538641420601501,0.7051741436147341,False
dbscan,noise,0.1,,,,0.9942326461202017,1.0,True
kmeans,noise,0.2,0.13192080341000562,1.6713120432748692,831.1968735321917,0.9221563928662345,0.4443170417084707,False
gmm_full,noise,0.2,0.07215636176315277,2.1758622634919274,593.3177512165887,0.5571804787286276,0.46882614304142184,False
gmm_diag,noise,0.2,0.080814581723521,2.0906966140097847,650.9720323208281,0.24831390970372022,0.31403181883330944,False
ahc_ward,noise,0.2,0.14475915753809962,1.5747547955304146,674.3408265008779,0.45880592735911024,0.6074243944388705,False
ahc_avg,noise,0.2,0.6889409650156584,0.41323782056756037,184.91530793160268,0.9011536467060267,0.9962734699727677,True
spectral,noise,0.2,0.21256484288448665,1.324792653026317,568.3094543287494,0.9221284452443436,0.7109072667335531,False
dbscan,noise,0.2,,,,0.9884685996834887,1.0,True
kmeans,dropout,0.0,0.1409321520082536,1.6208675524694847,882.2103616606386,1.0,0.44732693134585066,False
gmm_full,dropout,0.0,0.06299295677687866,2.5036315165727205,461.6115993186169,1.0,0.5756055611294253,False
gmm_diag,dropout,0.0,0.0454867156579729,2.1739203307972548,519.9306851868548,1.0,0.47656585925182743,False
ahc_ward,dropout,0.0,0.1348623450555478,1.647107799176643,714.3381329924466,1.0,0.4997850078830443,False
ahc_avg,dropout,0.0,0.6935093289929047,0.40318085974384354,189.42608261063387,1.0,0.9964167980507381,True
spectral,dropout,0.0,0.21892782256548343,1.2910261952377637,603.6979168729284,1.0,0.6971477712483876,False
dbscan,dropout,0.0,,,,1.0,1.0,True
kmeans,dropout,0.05,0.13417804850813825,1.669706732663066,819.223578201454,0.9424831997095456,0.4504801490612011,False
gmm_full,dropout,0.05,0.008630934690228846,8.050885978900887,331.17095014918857,0.31086818839233726,0.39415221441880466,False
gmm_diag,dropout,0.05,0.07470983959116233,2.2137189646802713,609.4117462535276,0.25565277263117603,0.313601834599398,False
ahc_ward,dropout,0.05,0.1189400739008425,1.8270910145910488,630.3449438516885,0.3204817910872664,0.5177010176293536,False
ahc_avg,dropout,0.05,0.80389849545923,0.22071931113383694,128.49102222009202,0.48376100492926716,0.9988533753762362,True
spectral,dropout,0.05,0.20859000724836138,1.3602945438113128,567.7648459759267,0.9294782369152358,0.694567865844919,False
dbscan,dropout,0.05,,,,0.9714747767145655,1.0,True
kmeans,dropout,0.1,0.1339656913679254,1.6815041523394474,760.6517064077431,0.8684241615192153,0.4692561272753332,False
gmm_full,dropout,0.1,-0.015225640394208272,4.826056623865121,324.4197408855824,0.26538291819454946,0.3266446896947112,False
gmm_diag,dropout,0.1,0.06865216792371939,2.2531744277471613,578.0775400200926,0.24373475102820957,0.3285079547083274,False
ahc_ward,dropout,0.1,0.1461503070352446,1.7993666957223622,611.2647834295517,0.44702687767785926,0.6336534327074674,False
ahc_avg,dropout,0.1,0.7889946276771157,0.549350174731547,118.89009281727387,0.46938558194412777,0.9987100472982657,True
spectral,dropout,0.1,0.19904392504484575,1.405918952953276,532.5350867339009,0.887219415958532,0.6958578185466533,False
dbscan,dropout,0.1,,,,0.9277473696160972,1.0,True
kmeans,dropout,0.2,0.10769932191020987,1.8557648380796685,644.2491443574867,0.8768047746008608,0.4519134298409058,False
gmm_full,dropout,0.2,0.012048350442379728,4.458688577642818,330.9618188744291,0.3321973814905133,0.4463236348000573,False
gmm_diag,dropout,0.2,0.05315391977177155,2.311959506779367,493.25400084465275,0.26965126473937234,0.4167980507381396,False
ahc_ward,dropout,0.2,0.11886984035493188,1.677312513306281,515.6992900258466,0.293073360847257,0.6140174860255124,False
ahc_avg,dropout,0.2,0.7930216195383789,0.5671845667172266,105.46082607417357,0.4429846267622481,0.9984233911423248,True
spectral,dropout,0.2,0.1744311068993459,1.5301049269191676,470.7147365274406,0.7938571658652788,0.6611724236777985,False
dbscan,dropout,0.2,,,,0.8296468489490106,1.0,True
kmeans,drift,0.0,0.1409321520082536,1.6208675524694847,882.2103616606386,1.0,0.44732693134585066,False
gmm_full,drift,0.0,0.06299295677687866,2.5036315165727205,461.6115993186169,1.0,0.5756055611294253,False
gmm_diag,drift,0.0,0.0454867156579729,2.1739203307972548,519.9306851868548,1.0,0.47656585925182743,False
ahc_ward,drift,0.0,0.1348623450555478,1.647107799176643,714.3381329924466,1.0,0.4997850078830443,False
ahc_avg,drift,0.0,0.6935093289929047,0.40318085974384354,189.42608261063387,1.0,0.9964167980507381,True
spectral,drift,0.0,0.21892782256548343,1.2910261952377637,603.6979168729284,1.0,0.6971477712483876,False
dbscan,drift,0.0,,,,1.0,1.0,True
kmeans,drift,0.01,0.14093350843590677,1.6208593689596027,882.2019370267229,1.0,0.44732693134585066,False
gmm_full,drift,0.01,0.0839771025351418,2.0588328520842656,638.5105661552167,0.40554772759942614,0.4807223735129712,False
gmm_diag,drift,0.01,0.04716854162436023,2.1478655276923875,537.1487585741789,0.913418048737729,0.4516267736849649,False
ahc_ward,drift,0.01,0.06459576917377206,2.021886445386406,691.6890874307392,0.3013532288926942,0.3289379389422388,False
ahc_avg,drift,0.01,0.6973488551856966,0.6305105914048359,225.27256687866233,0.7649727950703183,0.9949835172710334,True
spectral,drift,0.01,0.21911457079460803,1.2909626073924734,603.6286841678868,0.9975849861103622,0.697291099326358,False
dbscan,drift,0.01,,,,1.0,1.0,True
kmeans,drift,0.05,0.1409193574318246,1.6207367126047503,882.0349649055214,0.9969092897610158,0.4476135875017916,False
gmm_full,drift,0.05,0.06213633668298823,2.2732289458958586,579.9950196694867,0.9331868165000079,0.5768955138311596,False
gmm_diag,drift,0.05,0.07571103247816699,2.061376322543035,609.9440627231673,0.2723513758343921,0.3455639959868138,False
ahc_ward,drift,0.05,0.11903226811117197,1.6865080797876821,714.1286588840986,0.5066061732310307,0.46036978644116383,False
ahc_avg,drift,0.05,0.6972841060734586,0.6304622608236525,225.212776785818,0.7649727950703183,0.9949835172710334,True
spectral,drift,0.05,0.21874227481367378,1.291941843916931,603.3374149922137,0.9907960204464586,0.6965744589365057,False
dbscan,drift,0.05,,,,1.0,1.0,True
kmeans,drift,0.1,0.14098441423851066,1.6193238260768157,881.5270745147726,0.9920567884919256,0.44833022789164395,False
gmm_full,drift,0.1,0.05847421271614502,2.5281833752764644,462.28171806559055,0.9592232072483643,0.5660025799054035,False
gmm_diag,drift,0.1,0.07285765193888798,2.0797028609378096,615.3039829142638,0.28073170033613754,0.34714060484448905,False
ahc_ward,drift,0.1,0.1283805655091489,1.7154329256770227,716.871058003962,0.5113241063228495,0.5144044718360327,False
ahc_avg,drift,0.1,0.6971591551110321,0.6304357817471171,225.08236557756456,0.7649727950703183,0.9949835172710334,True
spectral,drift,0.1,0.2185686265908779,1.2925836115085274,603.4595836850177,0.9838594921811082,0.6960011466246238,False
dbscan,drift,0.1,,,,1.0,1.0,True
