k,inertia,silhouette,davies_bouldin,calinski_harabasz
2,313573.84628862375,0.19176283005530792,2.143095977954156,1095.0549231980317
3,284963.33961397025,0.1670321367337746,1.8692307621105269,952.5106083138378
4,260458.76603722965,0.1691659297437837,1.5770265643234007,913.3296151113796
5,236769.48395137725,0.2010566422342327,1.428216039322939,927.8152297314806
6,222201.38383639746,0.1409321520082536,1.6208675524694847,882.2103616606386
7,211651.1941451734,0.11685004380446325,1.6516700581924422,829.6187350666683
8,203976.8452420572,0.10390173535925568,1.7529142672160027,775.205210435298
