algorithm,augmentation,level,silhouette,davies_bouldin,calinski_harabasz,stability_ari,max_cluster_share,degenerate
spectral,noise,0.05,0.1069802157040834,1.5694245564964011,560.9547574805649,0.9452140869651389,0.47498925039415224,False
dbscan,noise,0.05,,,,0.9942326461202017,1.0,True
kmeans,noise,0.1,0.11326693276118191,1.6779461483025553,817.0072472288476,0.9327264548697779,0.3541636806650423,False
gmm_full,noise,0.1,0.09871017493204261,2.1066795450096203,654.6139843099572,0.3319370613224508,0.4100616310735273,False
gmm_diag,noise,0.1,0.0692851214503303,2.1124124052294277,598.007458177377,0.534695722321087,0.2610004299842339,False
ahc_ward,noise,0.1,0.11926466286349402,1.643277425194939,664.0383433394926,0.35115529436211623,0.48530887200802636,False
ahc_avg,noise,0.1,0.6948512204903013,0.54887226973881,187.9859626228315,0.8518579436232309,0.9949835172710334,True
spectral,noise,0.1,0.112056849253259,1.5400347671743575,535.3223320945549,0.5817244685296062,0.5270173426974344,False
dbscan,noise,0.1,,,,0.9942326461202017,1.0,True
kmeans,noise,0.2,0.10726227704834174,1.7278043897061113,780.343144543318,0.8674918501293047,0.3523004156514261,False
gmm_full,noise,0.2,0.07565053126178928,2.092898378730433,496.13020661948696,0.5396513104515267,0.4291242654436004,False
gmm_diag,noise,0.2,0.07210544725702449,2.1325337789270904,599.7118729504014,0.47161940968629484,0.2568439157230902,False
ahc_ward,noise,0.2,0.15077172138565698,1.4482018615960575,633.7164111656467,0.45461994530561206,0.6074243944388705,False
ahc_avg,noise,0.2,0.6512782512984056,0.5776047765087607,185.08394473152114,0.9375578288753262,0.9941235488032105,True
spectral,noise,0.2,0.13532186814423508,1.48340832544779,531.8960342758926,0.3523653711029861,0.5503798194066217,False
dbscan,noise,0.2,,,,0.9884685996834887,1.0,True
kmeans,dropout,0.0,0.11685004380446325,1.6516700581924422,829.6187350666683,1.0,0.35445033682098326,False
gmm_full,dropout,0.0,0.07910721721388446,2.2486333549514694,439.8547984706208,1.0,0.5563995986813817,False
gmm_diag,dropout,0.0,0.08560593005453343,1.8683336528425394,577.6733554753376,1.0,0.3441307152071091,False
ahc_ward,dropout,0.0,0.13560290272101821,1.4807494904798755,681.9208738632564,1.0,0.4997850078830443,False
ahc_avg,dropout,0.0,0.6595623837811271,0.5705149307792602,190.20502835752217,1.0,0.994266876881181,True
spectral,dropout,0.0,0.10833004871673092,1.5645923077105177,565.4917350528552,1.0,0.46638956571592377,False
dbscan,dropout,0.0,,,,1.0,1.0,True
kmeans,dropout,0.05,0.10829407550043892,1.7083164294969042,767.9321515733952,0.9244809151928821,0.3659165830586212,False
gmm_full,dropout,0.05,-0.007499220045101539,6.006816620014517,320.20763215000903,0.3713458675446329,0.4420237924609431,False
gmm_diag,dropout,0.05,0.03929355388556704,2.3164480685404407,525.9084487897372,0.4461380406572224,0.24967751182456643,False
ahc_ward,dropout,0.05,0.10895844580220752,1.7830034230398983,593.6633509943152,0.3158958661807722,0.5177010176293536,False
